lista regioni;;lista di tutte le regioni presenti nel models.py;x
;;;
lista province;;lista di tutte le province presenti nel models.py;x
;;;
lista comuni;;lista di tutti i comuni presenti nel db;
;;lista di tutti i comuni appartenenti a una determinata regione;x
;;lista di tutti i comuni appartenenti a una determinata provincia;x
;;;
lista costumi;;lista dei costumi di un comune;x
;;lista degli ultimi costumi inseriti (con n dynamico);
;;lista di tutti i costumi di un genere (femminile / maschile);
;;lista di tutti i costumi di un genere (femminile / maschile) di un comune;
;;lista di tutti i costumi di un tipo (da vedova, da sposa ecc.);
